time,pl_lung,pl_liver,pl_heart,pl_muscle,pl_skin,pl_adipose,pl_bone,pl_brain,pl_kidney,pl_si,pl_li,pl_pancreas,pl_thymus,pl_spleen,adcplasma,dose
615.99,2.2666187434885694e-7,2.4611669358061944e-7,6.944080823471934e-9,1.3606345676571723e-8,6.849537495813146e-8,1.6450398956082258e-8,3.9085430482531714e-8,1.673123375532386e-8,1.1122231635158656e-7,7.269469495871156e-8,8.356696148860426e-8,2.321267386131499e-9,3.7581824045917685e-8,6.767975411948876e-7,0.0007326805419363305,0.025 mg/kg
616.99,2.2628156253279043e-7,2.4568569633365054e-7,6.932401157881291e-9,1.3584584880454158e-8,6.838578960753912e-8,1.6423909351985778e-8,3.901976074375624e-8,1.6703677902666552e-8,1.1103013031214313e-7,7.256955395855114e-8,8.342696068751341e-8,2.317263484470747e-9,3.751692773869916e-8,6.756210748409359e-7,0.0007292962315056717,0.025 mg/kg
617.99,2.2589401196321957e-7,2.452469079080096e-7,6.9204996268590315e-9,1.3562387275869827e-8,6.827399935252216e-8,1.6396904667489114e-8,3.89532598906594e-8,1.6675585198044217e-8,1.1083442536824737e-7,7.244210464147072e-8,8.328428829796097e-8,2.3131858426794287e-9,3.745084063211633e-8,6.744232295113097e-7,0.000725949404426738,0.025 mg/kg
618.99,2.2549950307270944e-7,2.448006460354742e-7,6.908384878234252e-9,1.3539769581125328e-8,6.816008842543851e-8,1.636940506867236e-8,3.8886389255834764e-8,1.6646976130132e-8,1.106353411854046e-7,7.231243922694168e-8,8.313904837540342e-8,2.309037409730829e-9,3.738361024613469e-8,6.732048723871318e-7,0.0007226377026611412,0.025 mg/kg
619.99,2.2509823845668135e-7,2.4434712806808647e-7,6.89606309950163e-9,1.3516743497128862e-8,6.804411586644954e-8,1.6341424492229044e-8,3.881881229812437e-8,1.66178656059762e-8,1.1043297759327431e-7,7.218062230552957e-8,8.299131507319949e-8,2.3048202530474066e-9,3.731527010156925e-8,6.719665957296683e-7,0.0007193619914133438,0.025 mg/kg
620.99,2.246904173900426e-7,2.4388656703984166e-7,6.883540372942606e-9,1.3493320509067021e-8,6.792613963322227e-8,1.6312976606579578e-8,3.875016069746658e-8,1.6588268294799235e-8,1.102274327186572e-7,7.204671728183122e-8,8.284116126465016e-8,2.3005364022215566e-9,3.724585311913034e-8,6.707089799718859e-7,0.0007161232805984463,0.025 mg/kg
621.99,2.2427623914770064e-7,2.4341917598473527e-7,6.870822780838624e-9,1.3469512102126417e-8,6.78062176834237e-8,1.6284075080144354e-8,3.868006613379974e-8,1.655819886582352e-8,1.1001880468835401e-7,7.191078756044361e-8,8.268865982305646e-8,2.2961878868456774e-9,3.7175392219528314e-8,6.694326055467515e-7,0.0007129225801315493,0.025 mg/kg
622.99,2.2385590300456287e-7,2.4294516793676273e-7,6.857916405471127e-9,1.3445329761493657e-8,6.768440797472087e-8,1.625473358134377e-8,3.8608160287062214e-8,1.6527671988271464e-8,1.0980719162916544e-7,7.17728965459636e-8,8.253388362171937e-8,2.2917767365121657e-9,3.710392032347353e-8,6.681380528872324e-7,0.0007097608999277536,0.025 mg/kg
623.99,2.234296359237513e-7,2.424648003567605e-7,6.844828239996052e-9,1.3420787004559242e-8,6.756077867061195e-8,1.6224968353045802e-8,3.8534532703076995e-8,1.6496704260962106e-8,1.0959270633407506e-7,7.163311868749249e-8,8.237691678548306e-8,2.2873053321042545e-9,3.703147578951482e-8,6.668260257151505e-7,0.0007066365343900005,0.025 mg/kg
624.99,2.2299775328257784e-7,2.4197847709120875e-7,6.831568208303711e-9,1.3395903991944297e-8,6.743543128501908e-8,1.6194804085502435e-8,3.846107115713472e-8,1.646531841188828e-8,1.0937550873312637e-7,7.149156442863817e-8,8.221787975426075e-8,2.2827771986633135e-9,3.6958114618003506e-8,6.654976343498815e-7,0.0007035381184229845,0.025 mg/kg
