time,pl_lung,pl_liver,pl_heart,pl_muscle,pl_skin,pl_adipose,pl_bone,pl_brain,pl_kidney,pl_si,pl_li,pl_pancreas,pl_thymus,pl_spleen,adcplasma,dose
254.99,0.0015861390110230868,0.0019064926738692144,5.736351156946392e-5,0.0001176353743799681,0.00048298672580152974,0.00013611873726742562,0.00031551761584851397,0.0001321163076400197,0.0009109487026621652,0.0005832821779909206,0.0006690158412342462,1.846611048434018e-5,0.00030008727075730025,0.005223139400893964,0.04346808452958981,2.4mg/kg
255.99,0.0015768745277255285,0.0018953815004931955,5.702917718669422e-5,0.00011696079174623658,0.0004801989745675104,0.00013535767607991987,0.000314007823704672,0.0001313460458152682,0.0009056370294079196,0.0005798815031907261,0.0006651167487556964,1.8358414106756108e-5,0.00029833704196330726,0.005192719779403965,0.043190697087643705,2.4mg/kg
256.99,0.0015676406248683345,0.0018843069880817933,5.66959465362305e-5,0.00011628830308723942,0.00047742003016099793,0.00013459878489902586,0.00031250085231635785,0.0001305783257490097,0.000900342894960972,0.0005764920555276848,0.0006612305221434157,1.825107338065086e-5,0.00029659259252611854,0.005162400406148452,0.04291415164228472,2.4mg/kg
257.99,0.0015584372131791694,0.0018732690286230084,5.636381634795051e-5,0.00011561790461622304,0.00047464987522523316,0.0001338420614314283,0.0003109967062502238,0.00012981313998021134,0.000895066247243146,0.0005731138017298296,0.0006573571235537803,1.814408724940502e-5,0.0002948539053007729,0.005132180989753793,0.04263861950732987,2.4mg/kg
258.99,0.001549264205923222,0.0018622675169822228,5.603278343951287e-5,0.00011494959258767763,0.00047188849256567033,0.00013308750347150195,0.00030949539033662215,0.00012905048124562762,0.0008898070356144196,0.0005697467094354217,0.0006534965161386669,1.803745468588671e-5,0.0002931209636200042,0.005102061246162396,0.04236407377991232,2.4mg/kg
259.99,0.0015401215163656813,0.001851302348024818,5.570284462857622e-5,0.00011428336325609352,0.0004691358649877641,0.00013233510881362155,0.0003079969094059049,0.00012829034228201288,0.0008845652094347709,0.0005663907462827225,0.0006496486630499529,1.7931174662964046e-5,0.00029139375081654634,0.005072040891316667,0.0420904875571653,2.4mg/kg
260.99,0.0015310090577717369,0.001840373416616176,5.5373996732799195e-5,0.00011361921287596096,0.0004663919752969689,0.00013158487525216184,0.00030650126828842407,0.00012753271582612152,0.0008793407180641782,0.0005630458799099934,0.0006458135274395153,1.7825246153505144e-5,0.00028967225022313295,0.005042119641159016,0.041817833936222015,2.4mg/kg
261.99,0.0015219267434065777,0.001829480617621678,5.504623656984043e-5,0.00011295713770177023,0.0004636568062987395,0.0001308368005814976,0.0003050084718145319,0.00012677759461470796,0.0008741335108626196,0.0005597120779554957,0.0006419910724592311,1.7719668130378118e-5,0.00028795644517249784,0.0050122972116318455,0.041546086014215666,2.4mg/kg
262.99,0.0015128744864701773,0.001818623845831365,5.471956095489753e-5,0.00011229713399095792,0.0004609303408146375,0.00013009088259631764,0.00030351852480944695,0.00012602497137946143,0.0008689435371480494,0.0005563893080315804,0.0006381812612352973,1.761443956558105e-5,0.00028624631898343036,0.004982573318522348,0.0412752179358509,2.4mg/kg
263.99,0.0015038522001557674,0.0018078029961500655,5.4393966699331084e-5,0.00011163919824236146,0.0004582125628450393,0.00012934711922994648,0.00030203143217110535,0.00012527483886553827,0.000863770746066563,0.0005530775376779302,0.000634384056961618,1.7509559426944836e-5,0.00028454185491409196,0.0049529476798241285,0.04100525240798834,2.4mg/kg
