time,pl_lung,pl_liver,pl_heart,pl_muscle,pl_skin,pl_adipose,pl_bone,pl_brain,pl_kidney,pl_si,pl_li,pl_pancreas,pl_thymus,pl_spleen,adcplasma,dose
995.99,5.500230108622993e-7,6.079858247765284e-7,1.6900958397600356e-8,3.420343959408828e-8,1.7104770618178746e-7,4.326439428076749e-8,1.53395495593361e-7,4.059957253768842e-8,2.7180354174517297e-7,1.7785680108079762e-7,2.0390879790452418e-7,5.668484779579931e-9,9.179960072833189e-8,1.6821699131325933e-6,0.0010683180996296498,0.8mg/kg
996.99,5.472823289627964e-7,6.04956012796171e-7,1.6816744917414105e-8,3.4031514875134655e-8,1.701902654352133e-7,4.304468505578674e-8,1.527218784474466e-7,4.039725821454411e-8,2.704493026713684e-7,1.769705964322654e-7,2.0289266938648015e-7,5.640242018013495e-9,9.134221649499657e-8,1.6737853312266171e-6,0.0010630337754978176,0.8mg/kg
997.99,5.445557596089216e-7,6.019418076604033e-7,1.6732965040641525e-8,3.386049882554123e-8,1.693373323261701e-7,4.282614543288655e-8,1.5205127448758316e-7,4.0195985943316833e-8,2.691020344429341e-7,1.7608895434615648e-7,2.0188177485598813e-7,5.612144629817261e-9,9.088718659302273e-8,1.6654439762631588e-6,0.0010577783211384744,0.8mg/kg
998.99,5.418432222211232e-7,5.989431200533085e-7,1.6649616292536676e-8,3.369038586907741e-8,1.6848887929064258e-7,4.260876841387626e-8,1.5138366922293125e-7,3.999574976647835e-8,2.677616973316955e-7,1.7521184878890375e-7,2.0087608437739735e-7,5.58419178648717e-9,9.04344976037298e-8,1.6571455997605629e-6,0.0010525496498813524,0.8mg/kg
999.99,5.391446632996178e-7,5.959598907485248e-7,1.65666970300164e-8,3.352117217463502e-8,1.6764488774684632e-7,4.239254896303873e-8,1.5071905220868239e-7,3.979654574044965e-8,2.664282648772001e-7,1.7433926245547088e-7,1.9987557813506437e-7,5.556382936202539e-9,8.998414058780628e-8,1.64889003814716e-6,0.001047337479720133,0.8mg/kg
1000.99,5.364600076403901e-7,5.929920365364007e-7,1.648420494341072e-8,3.335285259005207e-8,1.6680533228380128e-7,4.217748055156165e-8,1.5005740963658055e-7,3.959836830770628e-8,2.6510169997428597e-7,1.734711710533309e-7,1.9888022821600356e-7,5.528717305473445e-9,8.95361030153865e-8,1.6406770603551641e-6,0.0010421430847359972,0.8mg/kg
1001.99,5.337891753009277e-7,5.900394689582858e-7,1.6402137577520994e-8,3.318542166721614e-8,1.659701859636582e-7,4.1963556316911873e-8,1.4939872697576047e-7,3.940121155834368e-8,2.637819631948646e-7,1.7260754876362673e-7,1.9789000493807014e-7,5.501194072406053e-9,8.909037157274634e-8,1.6325064205267309e-6,0.0010369697778807626,0.8mg/kg
1002.99,5.31132086338718e-7,5.871020995555306e-7,1.632049247714859e-8,3.3018873958014766e-8,1.6513942184856793e-7,4.1750769396556266e-8,1.4874298969535686e-7,3.92050695824573e-8,2.6246901511084757e-7,1.7174836976750132e-7,1.9690487861911945e-7,5.473812415106528e-9,8.864693294616167e-8,1.6243778728040152e-6,0.0010318208721062478,0.8mg/kg
1003.99,5.284886608112485e-7,5.841798398694848e-7,1.6239267187094867e-8,3.2853204014335505e-8,1.6431301300068122e-7,4.15391129279617e-8,1.4809018326450451e-7,3.900993647014259e-8,2.6116281629414663e-7,1.708936082460976e-7,1.9592481957700682e-7,5.446571511681035e-9,8.820577382190835e-8,1.6162911713291718e-6,0.0010266996803642706,0.8mg/kg
1004.99,5.258588187760068e-7,5.812726014414984e-7,1.615845925216119e-8,3.268840638806591e-8,1.6349093248214887e-7,4.132858004859503e-8,1.4744029315233806e-7,3.8815806311495e-8,2.598633273166734e-7,1.7004323838055846e-7,1.9494979812958748e-7,5.419470540235741e-9,8.776688088626228e-8,1.6082460702443558e-6,0.001021609515606649,0.8mg/kg
