time,pl_lung,pl_liver,pl_heart,pl_muscle,pl_skin,pl_adipose,pl_bone,pl_brain,pl_kidney,pl_si,pl_li,pl_pancreas,pl_thymus,pl_spleen,adcplasma,dose
175.99,0.00240410412101173,0.0028309364188689482,8.668896534169243e-5,0.00017383808532107908,0.0007162015697643212,0.00019840486150948444,0.00042305159087138115,0.00020055868959327478,0.0013688471755342107,0.0008756300204058646,0.0010087929874281383,2.7771722215238296e-5,0.0004511769236518503,0.0077120031886042635,0.036111518392626385,1.4 mg/kg
176.99,0.002398235392451045,0.0028238492888516304,8.647744250964094e-5,0.00017343570780556985,0.0007145203430332679,0.00019796814205678937,0.0004223280854542634,0.00020007530781507375,0.0013654561525620803,0.0008734628207499043,0.0010063365461012402,2.770287272744021e-5,0.00045005873138791,0.007692806364497292,0.036007358674922156,1.4 mg/kg
177.99,0.002392368257780255,0.0028167659003258483,8.626596378630524e-5,0.0001730330269341789,0.0007128383245195563,0.00019753091814323417,0.00042160251770506413,0.00019959195452924744,0.001362066569655979,0.0008712965168570252,0.0010038805807719628,2.7634053197134018e-5,0.00044894102582963586,0.0076736336463017465,0.03590383497358788,1.4 mg/kg
178.99,0.002386503189113337,0.002809687333143507,8.605454679556578e-5,0.00017263008413727368,0.0007111556772501596,0.00019709323586441398,0.0004208749734225743,0.00019910867057841217,0.00135867869781307,0.0008691312834218488,0.0010014252959936899,2.7565269155244555e-5,0.0004478238965191066,0.007654466922833207,0.03580093556674469,1.4 mg/kg
179.99,0.0023806406587866817,0.0028026143969919932,8.58432091392698e-5,0.00017222692078041317,0.0007094725643320623,0.00019665514114994463,0.00042014554053163564,0.00019862549683625447,0.0013552928080196069,0.0008669672944166547,0.000998970895872026,2.7496526109558593e-5,0.0004467074327198423,0.0076352981529202975,0.03569864872812401,1.4 mg/kg
180.99,0.002374781114613321,0.00279554725720067,8.56319674591128e-5,0.00017182357594714359,0.0007077891389000435,0.00019621667744529694,0.00041941430992699775,0.00019814247212251006,0.0013519091565800281,0.0008648047130011982,0.0009965175730671549,2.7427829224606224e-5,0.0004455917183578953,0.00761614219036055,0.035596963208626695,1.4 mg/kg
181.99,0.002368924973207954,0.002788486240506722,8.542083724420515e-5,0.00017142008643703037,0.0007061055452751271,0.00019577788575022244,0.0004186813701061337,0.00019765963262006109,0.0013485279813769447,0.0008626436912370417,0.0009940655070160838,2.73591833113762e-5,0.0004444768314329358,0.007597005876207664,0.035495868359554504,1.4 mg/kg
182.99,0.0023630726516797674,0.002781431769157079,8.520983400917859e-5,0.00017101648912375134,0.0007044219281992322,0.00019533880714870115,0.0004179468082188691,0.00019717701454812162,0.0013451495206324455,0.0008604843815978371,0.0009916148775041462,2.7290593194031684e-5,0.0004433628501317524,0.007577892496811254,0.035395353526063905,1.4 mg/kg
183.99,0.0023572245639452492,0.002774384603423825,8.49989731785657e-5,0.00017061282063443115,0.0007027384317368623,0.0001948994824725604,0.00041721070087048643,0.00019669465382219896,0.00134177401096649,0.000858326935980657,0.0009891658634767952,2.7222063679841386e-5,0.0004422498523866336,0.007558792782571898,0.03529540814572149,1.4 mg/kg
184.99,0.002351381085327411,0.0027673451131351567,8.478826871248063e-5,0.00017020911443690052,0.0007010551867324954,0.00019445994913582025,0.0004164731243065888,0.00019621258311802565,0.0013384016660250946,0.0008561714909220578,0.000986718626760203,2.715359908766682e-5,0.00044113790828078595,0.0075397101154374545,0.0351960223909009,1.4 mg/kg
185.99,0.0023455425866582107,0.002760313581836212,8.457773439805548e-5,0.00016980540363271956,0.0006993723224831338,0.00019402024415410597,0.00041573415606334136,0.0001957308347367395,0.0013350326967569526,0.000854018181124857,0.000984273327140444,2.7085203677912263e-5,0.0004400270869524221,0.007520650869605641,0.035097186517711126,1.4 mg/kg
186.99,0.0023397094414655028,0.002753290408473247,8.436738414588174e-5,0.0001694017216017307,0.0006976899699703792,0.00019358040484111725,0.0004149938753877881,0.00019524944117482208,0.0013316673159399532,0.0008518671430663422,0.000981830125983081,2.701688176768996e-5,0.00043891745837500336,0.007501617525677821,0.03499889076347719,1.4 mg/kg
187.99,0.0023338819899797586,0.002746276000627441,8.41572306204649e-5,0.00016899809898433043,0.0006960082488191232,0.00019314046557350234,0.00041425235236798065,0.00019476843212593695,0.0013283057167048327,0.0008497185003196682,0.0009793891701970648,2.6948637264631845e-5,0.000437809085957491,0.007482610313283019,0.03490112599951961,1.4 mg/kg
188.99,0.0023280605640526625,0.0027392707417333234,8.394728616753715e-5,0.0001685945657199855,0.0006943272756274776,0.00019270045997626204,0.0004135096545433242,0.0001942878365855502,0.0013249480871825898,0.0008475723730459096,0.0009769506029596894,2.6880473967998055e-5,0.00043670203138747207,0.007463629819722626,0.034803883249504154,1.4 mg/kg
189.99,0.002322245498746781,0.0027322751027786247,8.37375632665848e-5,0.00016819115218867024,0.0006926471693248261,0.00019226042212206056,0.00041276585015166467,0.00019380768377896587,0.0013215946174811714,0.0008454288834646609,0.0009745145691461878,2.6812395742000324e-5,0.00043559635723561545,0.007444673899703303,0.034707153530199035,1.4 mg/kg
190.99,0.0023164371019959184,0.0027252894664285343,8.352807338583462e-5,0.0001677878864976356,0.0006909680395267375,0.00019182038364549863,0.00041202100464238987,0.0001933280006453806,0.0013182454818006964,0.0008432881433526125,0.000972081201893225,2.674440611956059e-5,0.00043449212076423897,0.0074257423753714006,0.03461092837755726,1.4 mg/kg
191.99,0.0023106356700097535,0.0027183141352435766,8.331882754883189e-5,0.00016738479567865168,0.000689289991155257,0.00019138037504099351,0.00041127518205943416,0.00019284881315817162,0.0013149008474152588,0.0008411502595260126,0.0009696506290966121,2.667650847642801e-5,0.00043338937680298585,0.007406837278745559,0.03451519952223502,1.4 mg/kg
192.99,0.0023048415075095094,0.0027113494113178327,8.310983709681654e-5,0.0001669819075152335,0.0006876131324423994,0.0001909404275873432,0.0004105284476262149,0.0001923701479819466,0.0013115608866210726,0.0008390153422962157,0.0009672229823749968,2.6608706299182372e-5,0.00043228818190946944,0.00738796107010551,0.034419958570286326,1.4 mg/kg
193.99,0.0022990548952237545,0.0027043956185483727,8.290111248186373e-5,0.00016657924790622949,0.0006859375642005818,0.0001905005705231893,0.0004097808612358472,0.0001918920297304547,0.0013082257576574696,0.0008368834932343489,0.0009647983831169472,2.6541002796826195e-5,0.00043118858808364677,0.007369114245673039,0.03432519762802376,1.4 mg/kg
