time_hr,lung,liver,heart,muscle,skin,adipose,bone,brain,kidney,sm_int,la_int,pancreas,thymus,spleen,other,marrow,choroid,icb,retina,cornea,ah,vh,plasma,ln,Dose
1512.2023102852795,0.0023431719498873066,0.006727258711357313,0.002022637643725557,0.004702300754724048,0.004764060634865402,0.007086213073401294,0.031114737177991767,0.0005418764053662501,0.00470260995819366,0.004220943630477674,0.0023847672938453503,0.0039889290590864905,0.004204809819156883,0.00747412474208855,0.033604676314698545,0.004226267095092719,0.00028830412564763295,0.0007072984080544489,0.003060773769300463,0.0006962944582351988,0.0007575719273583562,0.003026955392388602,0.0938159070840067,0.002871000160023938,3.2
1512.2454979269398,0.0025091633225915316,0.006824165276488003,0.0020692510237150814,0.004703754071675166,0.0047660872933230946,0.007086431011501756,0.031112704269131063,0.0005466944794786924,0.005094167690567229,0.004329182848764327,0.002424537396233754,0.004088372905409806,0.004390667210917256,0.007598047695492758,0.03360170274475749,0.004242021768709789,0.0003305535497025038,0.0007182786002011269,0.003061879115913252,0.000696295959362809,0.0007709116263147296,0.0030266126918167737,0.10686843729256777,0.002900196857712722,3.2
1512.3138229147178,0.0028254979304640484,0.007014104604134409,0.002160107271467792,0.004707038999614664,0.004770479924354159,0.007087340901128954,0.031109942787670864,0.0005561462407835494,0.005836715340957622,0.004539624727105594,0.002502115310952766,0.004282110967054601,0.004749697496481912,0.00784021141740136,0.03359707769574397,0.004273720815254464,0.0004061498849416769,0.0007398918278484831,0.003064286036556645,0.0006962990089723757,0.0007966013365701438,0.0030261169362814414,0.12739568051479022,0.0029673764917113343,3.2
1512.3821479024957,0.0032034474026524304,0.007248138188576098,0.0022714855620420494,0.004711523034872217,0.004776316664782916,0.007088939029117206,0.031107747840549982,0.0005678087986948514,0.006718664999235304,0.004796949764340401,0.002597310268182323,0.004519473459569898,0.005185405563312626,0.008137631875482654,0.033592560326405715,0.004313643205984062,0.0004901938130185431,0.0007666217443967133,0.0030674911720574194,0.0006963030534781845,0.0008276260785166638,0.003025689507671291,0.14780626939833516,0.0030627682425001137,3.2
1512.4504728902737,0.003638655849345225,0.007525478039747306,0.002402931063679546,0.00471719753897714,0.004783590560673133,0.007091222583937693,0.031106118759026774,0.0005816520448593415,0.007728341606722448,0.005099971102818055,0.002709771098611941,0.004799442795469355,0.005694703880367105,0.008489040225823752,0.03358815967125709,0.004361715497096813,0.000580711187018633,0.0007983611492650968,0.003071481950116642,0.0006963082743129006,0.0008636912268903089,0.0030253427609023033,0.16810219362384432,0.0031882383561060946,3.2
1512.5187978780516,0.004127071311561461,0.007845355556470738,0.0025540025294703353,0.004724057253556845,0.004792293224504903,0.00709418818185549,0.031105055942599713,0.0005976467764693571,0.00885502303012507,0.005447540546969124,0.0028391573379079596,0.00512103213703818,0.006274636654503797,0.008893203418875267,0.03358388267526435,0.004417877929312386,0.0006761656325213579,0.0008349838838982359,0.003076253327767436,0.0006963148429722218,0.0009045182149060274,0.0030250883648127954,0.188307730589173,0.0033448859320167577,3.2
1512.5871228658295,0.004664902344927058,0.008207013926003412,0.0027242674631213436,0.0047320976772703294,0.004802416251991446,0.007097832288999649,0.031104563826870726,0.0006157642196029364,0.010088804026952669,0.005838536312837018,0.002985134970433365,0.005483275064680176,0.0069223545059525,0.009348913505216858,0.03357973493032084,0.0044820718410840035,0.0007753236222853228,0.0008763497033436301,0.0030818048893031195,0.0006963229217628432,0.0009498422824189481,0.0030249373538676783,0.20845581754784986,0.0035332587517397478,3.2
1512.6554478536075,0.005248673926995188,0.008609752860905174,0.0029133210031008086,0.00474131321723465,0.004813954109489398,0.007102152735739388,0.031104644331362726,0.0006359779805276465,0.0114207165659337,0.006271905031162083,0.0031473919827664765,0.005885266159424224,0.007635187629565644,0.009855044101588493,0.03357572083680898,0.0045542390511095565,0.0008772409086046899,0.0009223115499566401,0.003088131307514773,0.0006963326641057538,0.0009994182481299285,0.0030249001497787828,0.2285531877191781,0.003753435280488074,3.2
1512.7686653513729,0.006308673789306083,0.00936578775536743,0.0032669310303437803,0.004759159184339822,0.004836174983973782,0.007110796437920751,0.031106032503748604,0.0006740224219185258,0.013822246519235406,0.007080636291118959,0.003451311105966749,0.006636599668561248,0.008953029030430552,0.010801884626731937,0.03356937233081802,0.004691245220517367,0.0010503926399930753,0.0010081785687430795,0.0031003021680970897,0.0006963528556536446,0.0010903212805290475,0.0030251152226921495,0.2617445249229954,0.004187342472369206,3.2
1512.8818828491383,0.007472970443037797,0.01022995436106071,0.003669417202083528,0.00478020333858422,0.004862248647373291,0.0071212861940473365,0.031108975864594695,0.0007176491363158241,0.016438190640027488,0.007998656984777955,0.003797843311570237,0.0074910040512699925,0.010432024636645625,0.011879643402831158,0.03356341152907054,0.00484980424405324,0.0012270530333637914,0.001105524344321511,0.0031145557492444705,0.0006963786236471216,0.0011913178256637582,0.0030257111851424478,0.2947961485361327,0.004704634894356655,3.2
