time_hr,lung,liver,heart,muscle,skin,adipose,bone,brain,kidney,sm_int,la_int,pancreas,thymus,spleen,other,marrow,choroid,icb,retina,cornea,ah,vh,plasma,Dose
1512.6882105257473,5.499128661935274e-5,8.275287131988192e-5,4.92025352665587e-6,1.0630809400898212e-5,1.5527443053314575e-5,9.465756451702338e-6,1.7245478352086432e-5,9.51620321195699e-6,6.167534087575069e-5,3.685354222411167e-5,4.4210579930840267e-5,1.2235238309500447e-6,1.9404833341145946e-5,0.0001840537568187779,2.458279262742487e-5,8.68724648477151e-7,4.666539318567656e-7,4.702235872029139e-7,2.1211130351227157e-8,1.5448319322493115e-5,0.0001207943151766867,9.682396888801112e-6,0.0007532672250097967,0.525
1512.8532674980106,7.714146796559793e-5,0.00011604310712578807,6.856307566616505e-6,1.4830182254442187e-5,2.168597168037039e-5,1.3189609561772662e-5,2.3834422343038488e-5,1.3276427556029116e-5,8.652652214599112e-5,5.1637691958467874e-5,6.198553324163322e-5,1.7031275948923594e-6,2.7125231045253227e-5,0.000254856330370768,3.398986675324565e-5,1.209078211030097e-6,6.495036924770625e-7,6.543791565526549e-7,2.949248953059931e-8,1.7424623518712594e-5,0.00016754745250272056,1.0416182430169322e-5,0.0008618514936704002,0.525
1513.0,9.807277522407965e-5,0.00014715398210651996,8.719737332059826e-6,1.8864015419259783e-5,2.7591688631255386e-5,1.676820053647097e-5,3.015013536301439e-5,1.6889865949027766e-5,0.00010994970349421628,6.57057705041768e-5,7.885226267472936e-5,2.1653228664677057e-6,3.4518813406968236e-5,0.00031811861263858563,4.297995928221284e-5,1.5371056539679373e-6,8.257572059341166e-7,8.318902152595952e-7,3.747598177389418e-8,1.977920814441471e-5,0.00021057716495663913,1.1293824829651702e-5,0.0009403816981789817,0.525
1513.0016705911037,9.831538221316759e-5,0.00014751261769914848,8.741531497700255e-6,1.8911147870032803e-5,2.7660635134909207e-5,1.6810022649910247e-5,3.022385227611714e-5,1.693209475802996e-5,0.00011022085012288467,6.586938621224247e-5,7.90481575552752e-5,2.170731933251089e-6,3.460507361909765e-5,0.00031883212780097473,4.308473867536456e-5,1.5409447062078315e-6,8.278201313245155e-7,8.339678518435138e-7,3.7569427800554196e-8,1.980932413502652e-5,0.00021106955926943703,1.1305069001672166e-5,0.0009412049974988289,0.525
1513.0033411822074,9.855807191085351e-5,0.00014787133304686913,8.763337413143985e-6,1.895830471410989e-5,2.7729616053910896e-5,1.6851866603418344e-5,3.0297605634243664e-5,1.6974345605896922e-5,0.00011049208172987636,6.603306993196198e-5,7.924412795198126e-5,2.1761439904234584e-6,3.469137564730749e-5,0.0003195454682043107,4.318956651850171e-5,1.5447858841912633e-6,8.29884202249406e-7,8.360466420177148e-7,3.766292582556326e-8,1.9839512909730815e-5,0.0002115619842967015,1.1316340779767467e-5,0.0009420225971258486,0.525
1513.0069657494148,9.908499820524119e-5,0.00014864997298237955,8.81070268727856e-6,1.9060730711302894e-5,2.7879438561146412e-5,1.694275377105957e-5,3.045779195604285e-5,1.7066116482933314e-5,0.00011108094282866976,6.638851674556504e-5,7.966965886295729e-5,2.1879000307550483e-6,3.487881267595251e-5,0.0003210922971070724,4.341722827381967e-5,1.553129687249487e-6,8.343677891412169e-7,8.405622022413609e-7,3.78660233591029e-8,1.9905353962422273e-5,0.0002126304654689491,1.1340926322570561e-5,0.0009437713372149553,0.525
1513.0132885440034,0.00010000526201237369,0.00015000923437637884,8.89348765167241e-6,1.923973626312847e-5,2.8141258485038824e-5,1.710159618896567e-5,3.0737718167285326e-5,1.7226502938073777e-5,0.00011210926630985586,6.700947322405037e-5,8.041296479072733e-5,2.2084483002681666e-6,3.520634681809554e-5,0.00032378775837412405,4.381501951550779e-5,1.5677138095308115e-6,8.422046786182997e-7,8.484549813397181e-7,3.8221021076797015e-8,2.0021250674594126e-5,0.00021449444129997456,1.1384209304358523e-5,0.0009467508619020692,0.525
1513.0230607225708,0.00010142984175055871,0.0001521119019236225,9.021791829475492e-6,1.9517133412209384e-5,2.8546944257457548e-5,1.7347753991604044e-5,3.117144886952479e-5,1.747505206905347e-5,0.00011370086229667466,6.797115150415844e-5,8.156391862410297e-5,2.24029762518546e-6,3.571381017172895e-5,0.00032794576403015805,4.4431258443707036e-5,1.590319069996191e-6,8.543518400164278e-7,8.60688785388301e-7,3.8771274084360595e-8,2.0202860255783394e-5,0.00021737477743708625,1.145204874791415e-5,0.0009511988110334316,0.525
1513.0328329011381,0.00010285637667118462,0.0001542159499303772,9.150426374461729e-6,1.979521048814035e-5,2.895357816335583e-5,1.7594521663536124e-5,3.1606184074591055e-5,1.7724215192985876e-5,0.00011529437761775729,6.893458576585084e-5,8.271676352967883e-5,2.2722316098021667e-6,3.622241280372031e-5,0.0003320946975578408,4.504880611410928e-5,1.612984681807513e-6,8.665314625980535e-7,8.729552988053195e-7,3.932300648747257e-8,2.0386952152715848e-5,0.00022025389759700254,1.1520830821627307e-5,0.0009554986994599747,0.525
1513.0504140862265,0.00010542610027044459,0.00015800313624131794,9.382452373921648e-6,2.0296727551910343e-5,2.9686857215179197e-5,1.8039584318019955e-5,3.239012256950097e-5,1.8173594269607286e-5,0.00011816436836923106,7.067095911094851e-5,8.479408828621782e-5,2.329838166711697e-6,3.713947761873469e-5,0.0003395391468578046,4.6162167958397254e-5,1.6538723526777437e-6,8.885029478663135e-7,8.950835656464882e-7,4.031832666920332e-8,2.0723015979770128e-5,0.00022543007644326563,1.1646424480926545e-5,0.0009629579124332147,0.525
1513.0798811831758,0.0001097405371267526,0.0001643505051159003,9.773156777274291e-6,2.1140973192033024e-5,3.0920899408875436e-5,1.8788841504844628e-5,3.370938167960105e-5,1.8930102847803987e-5,0.00012298097746207088,7.3589472472434e-5,8.82841173294821e-5,2.426860484863613e-6,3.868246581383131e-5,0.0003519293535158883,4.8034942023453764e-5,1.7227386153444701e-6,9.25509124532805e-7,9.323539262112177e-7,4.199480980053014e-8,2.130383556877055e-5,0.0002340833991685614,1.1863602564390248e-5,0.0009745381210604725,0.525
1513.1304526478589,0.00011714784013037076,0.00017521434704410218,1.0447428612786585e-5,2.2597195140936637e-5,3.304841278783363e-5,2.0081358883767654e-5,3.598374960656019e-5,2.0235086799114685e-5,0.00013124449094328497,7.860997822001053e-5,9.428302282303679e-5,2.5943601288691035e-6,4.134155471433322e-5,0.00037287510464957416,5.1261024067739e-5,1.8416362467220488e-6,9.894006543914159e-7,9.967018602465284e-7,4.488953087423792e-8,2.2351628990983626e-5,0.00024883010670561327,1.2255743616396024e-5,0.0009920275048482822,0.525
1513.181024112542,0.0001245380609695336,0.00018600923453240757,1.1124706099920315e-5,2.405890040479117e-5,3.518255624179617e-5,2.1378926579125944e-5,3.826515459985032e-5,2.1545120623092015e-5,0.0001394811932456117,8.363171663861671e-5,0.0001002772223936718,2.762684825714279e-6,4.400756667919393e-5,0.00039335153075286826,5.449388322540527e-5,1.961127591234385e-6,1.0536120841071443e-6,1.0613722679304555e-6,4.7799062158289246e-8,2.3463355454518693e-5,0.000263402784736226,1.2672275035203112e-5,0.0010068311640694437,0.525
1513.231595577225,0.00013188659204050034,0.00019669776151460283,1.1802922961520133e-5,2.5521570140240793e-5,3.7316677372269413e-5,2.2677544975260472e-5,4.0546489223760747e-5,2.2856171931542414e-5,0.00014766338642683725,8.863845187079873e-5,0.00010624709200891801,2.9313247582043535e-6,4.667214582217842e-5,0.000413282249486023,5.772342678227329e-5,2.0808501841134266e-6,1.1179492071982392e-6,1.1261694706725333e-6,5.0714586444806344e-8,2.4638255859249413e-5,0.00027775154436598633,1.3112964647644894e-5,0.0010193330913063107,0.525
1513.312742719513,0.00014352987695767072,0.0002135357724027338,1.288784396520057e-5,2.7859013507731516e-5,4.072406170649362e-5,2.4753256088870353e-5,4.418873929950011e-5,2.495167925253162e-5,0.0001606102893920962,9.660005993632166e-5,0.00011572640187116725,3.2012704929536484e-6,5.092345857023845e-5,0.0004439613752321947,6.287283848382442e-5,2.272506797573285e-6,1.2209469484670864e-6,1.2299039999514927e-6,5.5382622403418095e-8,2.665123200758538e-5,0.00030019051850407364,1.3869134352995843e-5,0.0010356018218773259,0.525
1513.3938898618007,0.00015494590946600273,0.00022992426755277063,1.3964587499661483e-5,3.017588082206823e-5,4.409759630113827e-5,2.681124482924611e-5,4.7794481817680646e-5,2.702920874508234e-5,0.00017328298053003333,0.00010444227316358473,0.00012504623292952394,3.4694055027056996e-6,5.512878121645842e-5,0.0004729459126454797,6.796240075291486e-5,2.46289401054565e-6,1.3232686855820856e-6,1.3329578910874985e-6,6.002065516881897e-8,2.8816295235045456e-5,0.0003218293792243584,1.4683899660649157e-5,0.0010480004901092675,0.525
1513.5190158141538,0.00017200953509580625,0.000254182678491232,1.5600019442703208e-5,3.3688955876307706e-5,4.9205228278272845e-5,2.9932890406368277e-5,5.325281499561518e-5,3.0180338416722856e-5,0.00019218247538749255,0.00011623563525294152,0.00013902729996217333,3.8771159946524634e-6,6.148831692191585e-5,0.000514175703432689,7.565076783695749e-5,2.7524156321143156e-6,1.4788827902888384e-6,1.4896857094144609e-6,6.707548549198251e-8,3.243787230347623e-5,0.0003534727128243628,1.604988808848206e-5,0.0010613268070217936,0.525
