PS_kd,DAR,k_out,cmax,cavg,time
0.001,4,25.118864315095795,0.07879807239488337,0.04875081184006212,504.0
0.001,4,39.810717055349734,0.049787397682004846,0.030802990818499472,504.0
0.001,4,63.09573444801933,0.03144138798928,0.019452692829556615,504.0
0.001,4,100.0,0.019849219294753688,0.012280734210963332,504.0
0.001,4,158.48931924611142,0.012528415575745154,0.00775137725962247,504.0
0.001,4,251.18864315095797,0.007906651434261525,0.00489188757089047,504.0
0.001,4,398.1071705534973,0.0049894592169722075,0.0030870102859951822,504.0
0.001,4,630.957344480193,0.003148414510147894,0.00194794621989162,504.0
0.001,4,1000.0,0.0019866261919845763,0.0012291404274956026,504.0
0.001,6,0.001,549.3210456866235,391.20128297651814,504.0
0.001,6,0.001584893192461114,446.26474114116417,331.77716395286416,504.0
0.001,6,0.0025118864315095794,349.78257362517354,263.5531202452882,504.0
0.001,6,0.003981071705534973,264.61571060728966,195.06831099100467,504.0
0.001,6,0.00630957344480193,193.51346274879384,135.9290117337885,504.0
0.001,6,0.010000000000000002,137.13604030232636,91.30458026917998,504.0
0.001,6,0.015848931924611134,94.64212038391643,60.49032853031161,504.0
0.001,6,0.025118864315095794,64.19866786272411,40.08794446617144,504.0
0.001,6,0.039810717055349734,43.298784899111105,26.770711150630266,504.0
0.001,6,0.06309573444801933,29.30478430764449,18.066906883630697,504.0
0.001,6,0.1,19.96489242230785,12.306054044851846,504.0
0.001,6,0.15848931924611134,13.646255899889399,8.41586920685687,504.0
0.001,6,0.251188643150958,9.295254167661325,5.7365104086735945,504.0
0.001,6,0.39810717055349726,6.270082850730401,3.8720025099093696,504.0
0.001,6,0.6309573444801932,4.173729896475776,2.5788306949019915,504.0
0.001,6,1.0,2.740995352132411,1.6942810814688583,504.0
0.001,6,1.5848931924611136,1.7791740351195258,1.100102353257968,504.0
0.001,6,2.51188643150958,1.1444998685823642,0.7078163541104702,504.0
0.001,6,3.9810717055349722,0.7314547725060222,0.45243374732987696,504.0
0.001,6,6.309573444801933,0.46539231567785233,0.28789146378455915,504.0
0.001,6,10.0,0.2952289449808456,0.18264007754858744,504.0
0.001,6,15.848931924611133,0.18691964234321953,0.11564047296926555,504.0
0.001,6,25.118864315095795,0.11819710859177773,0.07312621776123332,504.0
0.001,6,39.810717055349734,0.0746810965233907,0.04620448623007744,504.0
0.001,6,63.09573444801933,0.04716208198416716,0.029179039245924684,504.0
0.001,6,100.0,0.02977382894258387,0.0184211013180897,504.0
0.001,6,158.48931924611142,0.018792623363671226,0.011627065890466798,504.0
0.001,6,251.18864315095797,0.011859977151534307,0.007337831357347789,504.0
0.001,6,398.1071705534973,0.007484188825479714,0.0046305154290664455,504.0
0.001,6,630.957344480193,0.004722621765203988,0.0029219193298534924,504.0
0.001,6,1000.0,0.0029799392879528088,0.0018437106411315378,504.0
0.001,8,0.001,732.428060903065,521.6017106278451,504.0
0.001,8,0.001584893192461114,595.0196548440398,442.3695519305605,504.0
0.001,8,0.0025118864315095794,466.37676482694985,351.4041603226424,504.0
0.001,8,0.003981071705534973,352.8209474711524,260.0910813181489,504.0
0.001,8,0.00630957344480193,258.0179503313326,181.23868231155075,504.0
0.001,8,0.010000000000000002,182.84805373580934,121.73944035863138,504.0
0.001,8,0.015848931924611134,126.18949384481729,80.65377137349952,504.0
0.001,8,0.025118864315095794,85.59822381698018,53.450592621854305,504.0
0.001,8,0.039810717055349734,57.73171319810252,35.69428153366189,504.0
0.001,8,0.06309573444801933,39.073045743561636,24.089209178206396,504.0
0.001,8,0.1,26.61985656324528,16.40807205993714,504.0
