time_hr,adc_plasma_uM,pl_liver_uM,dose_mgkg
914.24,-1.4717164005539022e-7,-2.3417452972221897e-11,0.01
914.49,-1.443814746732517e-7,-2.2888520457833334e-11,0.01
914.74,-1.4128981159721187e-7,-2.2404870975488366e-11,0.01
914.99,-1.3790776751506302e-7,-2.196556801716527e-11,0.01
915.24,-1.3424645911459744e-7,-2.1569675074842364e-11,0.01
915.49,-1.3031700308360742e-7,-2.1216255640497957e-11,0.01
915.74,-1.2613051610988542e-7,-2.090437320611033e-11,0.01
915.99,-1.2169811488122348e-7,-2.0633091263657812e-11,0.01
916.24,-1.1703091608541419e-7,-2.040147330511866e-11,0.01
916.49,-1.1214003641024962e-7,-2.0208582822471227e-11,0.01
916.74,-1.0703659254352222e-7,-2.0053483307693758e-11,0.01
916.99,-1.0173170117302423e-7,-1.9935238252764587e-11,0.01
917.24,-9.623647898654797e-8,-1.9852911149662006e-11,0.01
917.49,-9.056204267188582e-8,-1.9805565490364312e-11,0.01
917.74,-8.471950891682989e-8,-1.9792264766849844e-11,0.01
917.99,-7.871999440917274e-8,-1.981207247109683e-11,0.01
918.24,-7.257461583670647e-8,-1.9864052095083632e-11,0.01
918.49,-6.629448988722347e-8,-1.994726713078852e-11,0.01
918.74,-5.989073324851603e-8,-2.00607810701898e-11,0.01
918.99,-5.337446260837648e-8,-2.020365740526578e-11,0.01
919.24,-4.675679465459714e-8,-2.0374959627994745e-11,0.01
919.49,-4.004884607497011e-8,-2.057375123035503e-11,0.01
919.74,-3.3261733557288044e-8,-2.079909570432489e-11,0.01
919.99,-2.6406573789343024e-8,-2.105005654188267e-11,0.01
920.24,-1.9494483458927375e-8,-2.1325697235006616e-11,0.01
920.49,-1.2536579253833425e-8,-2.1625081275675072e-11,0.01
920.74,-5.5439778618535075e-9,-2.194727215586633e-11,0.01
920.99,1.4722040292201001e-9,-2.229133336755868e-11,0.01
921.24,8.50084973159517e-9,-2.265632840273044e-11,0.01
921.49,1.55308425574792e-8,-2.3041320753359885e-11,0.01
921.74,2.2551065819080104e-8,-2.344537391142535e-11,0.01
921.99,2.9550402828605453e-8,-2.3867551368905094e-11,0.01
922.24,3.6517736898262934e-8,-2.4306916617777454e-11,0.01
922.49,4.344195134026031e-8,-2.4762533150020706e-11,0.01
922.74,5.031192946680527e-8,-2.523346445761317e-11,0.01
922.99,5.71165545901054e-8,-2.571877403253312e-11,0.01
923.24,6.38447100223685e-8,-2.621752536675888e-11,0.01
923.49,7.04852790758023e-8,-2.6728781952268754e-11,0.01
923.74,7.702714506261438e-8,-2.725160728104102e-11,0.01
923.99,8.345919129501251e-8,-2.7785064845054004e-11,0.01
924.24,8.977030108520438e-8,-2.8328218136285973e-11,0.01
924.49,9.594935774539767e-8,-2.8880130646715254e-11,0.01
924.74,1.0198524458780002e-7,-2.943986586832014e-11,0.01
924.99,1.0786684492461922e-7,-3.000648729307893e-11,0.01
925.24,1.1358304206806296e-7,-3.057905841296993e-11,0.01
925.49,1.1912271933033885e-7,-3.115664271997143e-11,0.01
925.74,1.2447476002365468e-7,-3.1738303706061746e-11,0.01
925.99,1.2962804746021808e-7,-3.2323104863219166e-11,0.01
926.24,1.3457146495223675e-7,-3.2910109683422e-11,0.01
926.49,1.3929389581191845e-7,-3.3498381658648544e-11,0.01
926.74,1.4378422335147076e-7,-3.408698428087708e-11,0.01
926.99,1.4803133088310148e-7,-3.467498104208594e-11,0.01
927.24,1.5202410171901827e-7,-3.52614354342534e-11,0.01
927.49,1.5575141917142882e-7,-3.584541094935778e-11,0.01
927.74,1.592021665525408e-7,-3.642597107937736e-11,0.01
927.99,1.6236522717456196e-7,-3.7002179316290465e-11,0.01
928.24,1.6522948434969995e-7,-3.7573099152075377e-11,0.01
928.49,1.677838213901625e-7,-3.813779407871039e-11,0.01
928.74,1.700171216081573e-7,-3.869532758817383e-11,0.01
928.99,1.7191826831589198e-7,-3.9244763172443966e-11,0.01
929.24,1.734761448255743e-7,-3.978516432349913e-11,0.01
929.49,1.7467963444941196e-7,-4.0315594533317603e-11,0.01
929.74,1.7551762049961264e-7,-4.0835117293877694e-11,0.01
929.99,1.75978986288384e-7,-4.13427960971577e-11,0.01
930.24,1.7605261512793385e-7,-4.183769443513591e-11,0.01
930.49,1.7572739033046973e-7,-4.231887579979065e-11,0.01
930.74,1.749921952081994e-7,-4.27854036831002e-11,0.01
930.99,1.7383591307333058e-7,-4.323634157704286e-11,0.01
931.24,1.7224742723807095e-7,-4.367075297359695e-11,0.01
931.49,1.702156210146282e-7,-4.4087701364740745e-11,0.01
931.74,1.6772937771521003e-7,-4.448625024245257e-11,0.01
931.99,1.6477758065202418e-7,-4.48654630987107e-11,0.01
932.24,1.6134911313727824e-7,-4.5224403425493457e-11,0.01
932.49,1.5743285848317998e-7,-4.5562134714779136e-11,0.01
932.74,1.5301770000193706e-7,-4.5877720458546025e-11,0.01
932.99,1.4809252100575716e-7,-4.617022414877244e-11,0.01
933.24,1.4264620480684803e-7,-4.643870927743668e-11,0.01
933.49,1.3666763471741736e-7,-4.6682239336517036e-11,0.01
933.74,1.3014569404967293e-7,-4.689987781799181e-11,0.01
933.99,1.230692661158222e-7,-4.709068821383931e-11,0.01
934.24,1.1542723422807301e-7,-4.725373401603783e-11,0.01
934.49,1.0720848169863305e-7,-4.738807871656568e-11,0.01
934.74,9.840189183970999e-8,-4.749278580740115e-11,0.01
934.99,8.899634796351154e-8,-4.756691878052254e-11,0.01
935.24,7.898073338224541e-8,-4.760954112790816e-11,0.01
935.49,6.834393140811943e-8,-4.76197163415363e-11,0.01
935.74,5.7074825353341005e-8,-4.759650791338526e-11,0.01
935.99,4.516229853011796e-8,-4.753897933543335e-11,0.01
936.24,3.2595234250658003e-8,-4.744619409965887e-11,0.01
936.49,1.9362515827168834e-8,-4.7317215698040115e-11,0.01
936.74,5.453026571858132e-9,-4.7151107622555386e-11,0.01
936.99,-9.136260425063607e-9,-4.694704986355009e-11,0.01
937.24,-2.396890042547265e-8,-4.671081994128673e-11,0.01
937.49,-3.8786856663084055e-8,-4.644642808293438e-11,0.01
937.74,-5.358438222394958e-8,-4.61543974225877e-11,0.01
937.99,-6.8355730194121e-8,-4.583525109434131e-11,0.01
938.24,-8.309515365965009e-8,-4.548951223228989e-11,0.01
938.49,-9.779690570658858e-8,-4.511770397052808e-11,0.01
938.74,-1.1245523942098826e-7,-4.4720349443150494e-11,0.01
938.99,-1.2706440788890086e-7,-4.4297971784251816e-11,0.01
939.24,-1.4161866419637817e-7,-4.385109412792668e-11,0.01
939.49,-1.5611226142947192e-7,-4.3380239608269724e-11,0.01
939.74,-1.7053945267423393e-7,-4.2885931359375606e-11,0.01
939.99,-1.8489449101671587e-7,-4.236869251533897e-11,0.01
940.24,-1.991716295429696e-7,-4.182904621025446e-11,0.01
940.49,-2.1336512133904685e-7,-4.126751557821671e-11,0.01
940.74,-2.2746921949099936e-7,-4.06846237533204e-11,0.01
940.99,-2.4147817708487886e-7,-4.008089386966015e-11,0.01
941.24,-2.5538624720673724e-7,-3.9456849061330604e-11,0.01
941.49,-2.691876829426261e-7,-3.881301246242643e-11,0.01
941.74,-2.828767373785973e-7,-3.814990720704225e-11,0.01
941.99,-2.9644766360070256e-7,-3.7468056429272736e-11,0.01
942.24,-3.098947146949938e-7,-3.6767983263212514e-11,0.01
942.49,-3.232121437475225e-7,-3.605021084295624e-11,0.01
942.74,-3.363942038443406e-7,-3.531526230259856e-11,0.01
942.99,-3.494351480714998e-7,-3.4563660776234114e-11,0.01
943.24,-3.62329229515052e-7,-3.379592939795756e-11,0.01
943.49,-3.7507070126104866e-7,-3.3012591301863526e-11,0.01
943.74,-3.876538163955419e-7,-3.221416962204669e-11,0.01
943.99,-4.000728280045833e-7,-3.1401187492601664e-11,0.01
944.24,-4.1232198917422456e-7,-3.0574168047623114e-11,0.01
944.49,-4.2439555299051766e-7,-2.973363442120569e-11,0.01
944.74,-4.36287772539514e-7,-2.8880109747444027e-11,0.01
944.99,-4.4799290090726585e-7,-2.801411716043277e-11,0.01
945.24,-4.5950519117982434e-7,-2.713617979426657e-11,0.01
945.49,-4.70818896443242e-7,-2.6246820783040086e-11,0.01
945.74,-4.819282697835698e-7,-2.5346563260847944e-11,0.01
945.99,-4.9282756428686e-7,-2.4435930361784803e-11,0.01
946.24,-5.035110330391643e-7,-2.3515445219945306e-11,0.01
946.49,-5.139729291265344e-7,-2.25856309694241e-11,0.01
946.74,-5.24207505635022e-7,-2.1647010744315837e-11,0.01
946.99,-5.342090156506787e-7,-2.0700107678715148e-11,0.01
947.24,-5.439717122595568e-7,-1.97454449067167e-11,0.01
947.49,-5.534898485477077e-7,-1.878354556241513e-11,0.01
947.74,-5.62757677601183e-7,-1.7814932779905074e-11,0.01
947.99,-5.717694525060349e-7,-1.684012969328119e-11,0.01
948.24,-5.805194263483149e-7,-1.5859659436638128e-11,0.01
948.49,-5.890018522140748e-7,-1.487404514407053e-11,0.01
948.74,-5.972109831893661e-7,-1.3883809949673035e-11,0.01
948.99,-6.051410723602412e-7,-1.2889476987540306e-11,0.01
949.24,-6.127863728127512e-7,-1.1891569391766978e-11,0.01
949.49,-6.201411376329482e-7,-1.0890610296447698e-11,0.01
949.74,-6.271996199068839e-7,-9.887122835677112e-12,0.01
949.99,-6.339560727206101e-7,-8.88163014354987e-12,0.01
950.24,-6.404047491601786e-7,-7.874655354160625e-12,0.01
950.49,-6.465399023116408e-7,-6.8667216016040056e-12,0.01
950.74,-6.523557852610491e-7,-5.858352019974677e-12,0.01
950.99,-6.578466510944547e-7,-4.850069743367276e-12,0.01
951.24,-6.630067528979096e-7,-3.842397905876449e-12,0.01
951.49,-6.678303437574655e-7,-2.835859641596842e-12,0.01
951.74,-6.723116767591743e-7,-1.830978084623107e-12,0.01
951.99,-6.764450049890877e-7,-8.282763690498937e-13,0.01
952.24,-6.802245815332571e-7,1.7172237102816865e-13,0.01
952.49,-6.83644659477735e-7,1.1684950015164101e-12,0.01
952.74,-6.866994919085725e-7,2.1615183883202063e-12,0.01
952.99,-6.893833319118217e-7,3.1502693973448978e-12,0.01
953.24,-6.916904325735342e-7,4.134224894495844e-12,0.01
953.49,-6.936150469797618e-7,5.1128617456783915e-12,0.01
953.74,-6.951514282165563e-7,6.0856568167979e-12,0.01
953.99,-6.962938293699694e-7,7.052086973759718e-12,0.01
954.24,-6.970365035260531e-7,8.011629082469191e-12,0.01
954.49,-6.97373703770859e-7,8.963760008831697e-12,0.01
954.74,-6.972996831904387e-7,9.90795661875257e-12,0.01
954.99,-6.968086948708442e-7,1.0843695778137173e-11,0.01
955.24,-6.95894991898127e-7,1.1770454352890852e-11,0.01
955.49,-6.945528273583392e-7,1.2687709208918966e-11,0.01
955.74,-6.927764543375322e-7,1.3594937212126862e-11,0.01
955.99,-6.905601259217583e-7,1.449161522841989e-11,0.01
956.24,-6.878980951970686e-7,1.537722012370342e-11,0.01
956.49,-6.847846152495152e-7,1.6251228763882797e-11,0.01
956.74,-6.812139391651499e-7,1.7113118014863376e-11,0.01
956.99,-6.771803200300243e-7,1.7962364742550504e-11,0.01
957.24,-6.726780109301903e-7,1.8798445812849537e-11,0.01
957.49,-6.677012649516997e-7,1.962083809166583e-11,0.01
957.74,-6.622443351806043e-7,2.042901844490473e-11,0.01
957.99,-6.563014747029554e-7,2.1222463738471607e-11,0.01
958.24,-6.498669366048054e-7,2.20006508382718e-11,0.01
958.49,-6.429349739722056e-7,2.276305661021067e-11,0.01
958.74,-6.35499839891208e-7,2.3509157920193566e-11,0.01
958.99,-6.275557874478642e-7,2.423843163412584e-11,0.01
959.24,-6.190970697282261e-7,2.4950354617912848e-11,0.01
959.49,-6.101179398183456e-7,2.564440373745994e-11,0.01
959.74,-6.006126508042741e-7,2.632005585867248e-11,0.01
959.99,-5.905754557720635e-7,2.6976787847455808e-11,0.01
960.24,-5.800006078077657e-7,2.761407656971529e-11,0.01
960.49,-5.688823599974323e-7,2.8231398891356268e-11,0.01
960.74,-5.57214965427115e-7,2.8828231678284104e-11,0.01
960.99,-5.449926771828659e-7,2.940405179640415e-11,0.01
961.24,-5.322097483507367e-7,2.995833611162175e-11,0.01
961.49,-5.188604320167788e-7,3.049056148984227e-11,0.01
961.74,-5.049389812670441e-7,3.1000204796971057e-11,0.01
961.99,-4.904396491875845e-7,3.148674289891347e-11,0.01
962.24,-4.7535668886445164e-7,3.194965266157485e-11,0.01
962.49,-4.5968435338369736e-7,3.238841095086056e-11,0.01
962.74,-4.434168958313734e-7,3.280249463267596e-11,0.01
962.99,-4.2654856929353187e-7,3.319138057292638e-11,0.01
963.24,-4.090736268562238e-7,3.35545456375172e-11,0.01
963.49,-3.909863216055014e-7,3.389146669235376e-11,0.01
963.74,-3.722809066274163e-7,3.420162060334141e-11,0.01
963.99,-3.529516350080204e-7,3.4484484236385514e-11,0.01
964.24,-3.329927598333653e-7,3.473953445739142e-11,0.01
964.49,-3.1239853418950297e-7,3.496624813226449e-11,0.01
964.74,-2.91163211162485e-7,3.516410212691006e-11,0.01
